開始日-終了日,作品名,制作会社,主放送局・系列,話数,放送期間,リンク
10月11日 - 12月27日,まえせつ!,Studio五組、AXsiZ,AT-X、TOKYO MX、BS日テレほか,全12話,2020年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%81%BE%E3%81%88%E3%81%9B%E3%81%A4!
10月12日 - 12月28日,おちこぼれフルーツタルト,feel.,AT-X、TOKYO MXほか,全12話,2020年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%81%8A%E3%81%A1%E3%81%93%E3%81%BC%E3%82%8C%E3%83%95%E3%83%AB%E3%83%BC%E3%83%84%E3%82%BF%E3%83%AB%E3%83%88
10月13日 - 2021年3月30日,おそ松さん（第3期）,studioぴえろ,TX,全25話,2020年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%81%8A%E3%81%9D%E6%9D%BE%E3%81%95%E3%82%93
10月13日 - 12月29日,A3! SEASON AUTUMN & WINTER,P.A.WORKS、Studio 3Hz,TOKYO MXほか,全12話,2020年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/A3!
10月13日 - 2021年1月5日,それだけがネック,TIA,TX,全12話,2020年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%81%9D%E3%82%8C%E3%81%A0%E3%81%91%E3%81%8C%E3%83%8D%E3%83%83%E3%82%AF
10月13日 - 12月29日,禍つヴァールハイト -ZUERST-,横浜アニメーションラボ,TOKYO MX、BS11、WOWOW、MBS,全12話,2020年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E7%A6%8D%E3%81%A4%E3%83%B4%E3%82%A1%E3%83%BC%E3%83%AB%E3%83%8F%E3%82%A4%E3%83%88_-ZUERST-
10月14日 - 2021年1月12日,土下座で頼んでみた,アドネロ,AT-X,全13話,2020年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E5%9C%9F%E4%B8%8B%E5%BA%A7%E3%81%A7%E9%A0%BC%E3%82%93%E3%81%A7%E3%81%BF%E3%81%9F
10月30日 - 2021年1月29日,D4DJ First Mix,サンジゲン,独立局ほか,全13話,2020年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/D4DJ
11月8日 - 12月10日,ゲボイデ=ボイデ,トムス・ジーニーズ,ディズニー・チャンネル,全10話,2020年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%82%A2%E3%83%9C%E3%83%BC%E3%83%AB_(%E3%82%A2%E3%83%8B%E3%83%A1)
12月7日 - 2021年3月29日,進撃の巨人 The Final Season（Part 1）,MAPPA,NHK総合,全16話,2020年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E9%80%B2%E6%92%83%E3%81%AE%E5%B7%A8%E4%BA%BA_(%E3%82%A2%E3%83%8B%E3%83%A1)
12月21日 - 12月25日,HERO MASK PartII,studioぴえろ,TOKYO MX,全12話,2020年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/HERO_MASK
1月4日 - 3月22日,裏世界ピクニック,ライデンフィルム、FelixFilm,AT-X、TOKYO MX、BS11、SUN,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E8%A3%8F%E4%B8%96%E7%95%8C%E3%83%94%E3%82%AF%E3%83%8B%E3%83%83%E3%82%AF
1月4日 - 3月22日,たとえばラストダンジョン前の村の少年が序盤の街で暮らすような物語,ライデンフィルム,AT-X、TOKYO MX、BS11、SUN,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%81%9F%E3%81%A8%E3%81%88%E3%81%B0%E3%83%A9%E3%82%B9%E3%83%88%E3%83%80%E3%83%B3%E3%82%B8%E3%83%A7%E3%83%B3%E5%89%8D%E3%81%AE%E6%9D%91%E3%81%AE%E5%B0%91%E5%B9%B4%E3%81%8C%E5%BA%8F%E7%9B%A4%E3%81%AE%E8%A1%97%E3%81%A7%E6%9A%AE%E3%82%89%E3%81%99%E3%82%88%E3%81%86%E3%81%AA%E7%89%A9%E8%AA%9E
1月4日 - 2月22日,じみへんっ!!〜地味子を変えちゃう純異性交遊〜,studio HōKIBOSHI,TOKYO MX,全8話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%81%98%E3%81%BF%E3%81%B8%E3%82%93%E3%81%A3!!%E3%80%9C%E5%9C%B0%E5%91%B3%E5%AD%90%E3%82%92%E5%A4%89%E3%81%88%E3%81%A1%E3%82%83%E3%81%86%E7%B4%94%E7%95%B0%E6%80%A7%E4%BA%A4%E9%81%8A%E3%80%9C
1月4日 - 3月22日,7SEEDS（第2期）,GONZO、スタジオKAI,TOKYO MX,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/7SEEDS
1月5日 - 3月30日,ウマ娘 プリティーダービー Season2,スタジオKAI,TOKYO MX、KTVほか,全13話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%82%A6%E3%83%9E%E5%A8%98_%E3%83%97%E3%83%AA%E3%83%86%E3%82%A3%E3%83%BC%E3%83%80%E3%83%BC%E3%83%93%E3%83%BC_(%E3%82%A2%E3%83%8B%E3%83%A1)
1月5日 - 3月30日,転生したらスライムだった件（第2期第1部）,エイトビット,TOKYO MXほか,全13話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E8%BB%A2%E7%94%9F%E3%81%97%E3%81%9F%E3%82%89%E3%82%B9%E3%83%A9%E3%82%A4%E3%83%A0%E3%81%A0%E3%81%A3%E3%81%9F%E4%BB%B6_(%E3%82%A2%E3%83%8B%E3%83%A1)
1月5日 - 3月23日,ゲキドル,フッズエンタテインメント,AT-X、BSフジ,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%82%B2%E3%82%AD%E3%83%89%E3%83%AB
1月6日 - 3月24日,Re:ゼロから始める異世界生活（第2期第2クール）,WHITE FOX,AT-X、TOKYO MXほか,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/Re:%E3%82%BC%E3%83%AD%E3%81%8B%E3%82%89%E5%A7%8B%E3%82%81%E3%82%8B%E7%95%B0%E4%B8%96%E7%95%8C%E7%94%9F%E6%B4%BB_(%E3%82%A2%E3%83%8B%E3%83%A1)
1月6日 - 3月24日,アイ★チュウ,Lay-duce,TOKYO MX、BS11、RNB,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E2%98%85%E3%83%81%E3%83%A5%E3%82%A6
1月7日 - 3月25日,装甲娘戦機,studio A-CAT,TOKYO MX、BS11、MBS,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E8%A3%85%E7%94%B2%E5%A8%98%E6%88%A6%E6%A9%9F
1月7日 - 3月25日,オルタンシア・サーガ,ライデンフィルム,TOKYO MXほか,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%AB%E3%82%BF%E3%83%B3%E3%82%B7%E3%82%A2%E3%83%BB%E3%82%B5%E3%83%BC%E3%82%AC
1月7日 - 3月25日,BEASTARS（第2期）,オレンジ,CX,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/BEASTARS
1月7日 - 3月25日,SHOW BY ROCK!! STARS!!,キネマシトラス,AT-X、TOKYO MX、UHBほか,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/SHOW_BY_ROCK!!
1月7日 - 4月1日,ゆるキャン△ SEASON2,C-Station,AT-X、TOKYO MX、BS11ほか,全13話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%82%86%E3%82%8B%E3%82%AD%E3%83%A3%E3%83%B3%E2%96%B3_SEASON2
1月7日 - 3月25日,エビシー修業日記,ファンワークス,ABC,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%93%E3%82%B7%E3%83%BC%E4%BF%AE%E6%A5%AD%E6%97%A5%E8%A8%98
1月8日 - 3月26日,2.43 清陰高校男子バレー部,david production,CX,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/2.43_%E6%B8%85%E9%99%B0%E9%AB%98%E6%A0%A1%E7%94%B7%E5%AD%90%E3%83%90%E3%83%AC%E3%83%BC%E9%83%A8
1月8日 - 3月26日,約束のネバーランド（第2期）,CloverWorks,CX,全11話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E7%B4%84%E6%9D%9F%E3%81%AE%E3%83%8D%E3%83%90%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89
1月8日 - 3月26日,天地創造デザイン部,旭プロダクション,AT-X、TOKYO MX、BSフジほか,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E5%A4%A9%E5%9C%B0%E5%89%B5%E9%80%A0%E3%83%87%E3%82%B6%E3%82%A4%E3%83%B3%E9%83%A8
1月8日 - 3月26日,五等分の花嫁∬,バイブリーアニメーションスタジオ,TBS,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E4%BA%94%E7%AD%89%E5%88%86%E3%81%AE%E8%8A%B1%E5%AB%81
1月8日 - 3月26日,弱キャラ友崎くん,project No.9,AT-X、TOKYO MX、BS11,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E5%BC%B1%E3%82%AD%E3%83%A3%E3%83%A9%E5%8F%8B%E5%B4%8E%E3%81%8F%E3%82%93
1月8日 - 7月3日,蜘蛛ですが、なにか?,ミルパンセ,AT-X、TOKYO MXほか,全24話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E8%9C%98%E8%9B%9B%E3%81%A7%E3%81%99%E3%81%8C%E3%80%81%E3%81%AA%E3%81%AB%E3%81%8B%3F
1月8日 - 3月12日,アイドールズ!,シンエイ動画,BS朝日,全10話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%83%89%E3%83%BC%E3%83%AB%E3%82%BA!
1月9日 - 6月19日,バック・アロウ,スタジオヴォルン,TOKYO MX、BS11ほか,全24話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%90%E3%83%83%E3%82%AF%E3%83%BB%E3%82%A2%E3%83%AD%E3%82%A6
1月9日 - 3月27日,WIXOSS DIVA(A)LIVE,J.C.STAFF,TOKYO MX、BS11,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/WIXOSS_DIVA(A)LIVE
1月9日 - 3月27日,おとなの防具屋さんII,IMAGICA Lab.,TOKYO MX、AT-X,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%81%8A%E3%81%A8%E3%81%AA%E3%81%AE%E9%98%B2%E5%85%B7%E5%B1%8B%E3%81%95%E3%82%93
1月9日 - 4月3日,プレイタの傷,GoHands,MBS,全13話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/PROJECT_SCARD
1月9日 - 3月27日,俺だけ入れる隠しダンジョン,オクルトノボル,MBS、AT-Xほか,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E4%BF%BA%E3%81%A0%E3%81%91%E5%85%A5%E3%82%8C%E3%82%8B%E9%9A%A0%E3%81%97%E3%83%80%E3%83%B3%E3%82%B8%E3%83%A7%E3%83%B3
1月9日 - 2月27日,はたらく細胞!!,david production,TOKYO MXほか,全8話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%81%AF%E3%81%9F%E3%82%89%E3%81%8F%E7%B4%B0%E8%83%9E!!
1月10日 - 3月21日,はたらく細胞BLACK,ライデンフィルム,TOKYO MXほか,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%81%AF%E3%81%9F%E3%82%89%E3%81%8F%E7%B4%B0%E8%83%9EBLACK
1月10日 - 4月4日,ホリミヤ,CloverWorks,TOKYO MX、MBSほか,全13話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%9B%E3%83%AA%E3%83%9F%E3%83%A4
1月10日 - 4月4日,ワールドトリガー 2ndシーズン,東映アニメーション,EX,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%AF%E3%83%BC%E3%83%AB%E3%83%89%E3%83%88%E3%83%AA%E3%82%AC%E3%83%BC
1月10日 - 4月4日,SK∞ エスケーエイト,ボンズ,ABC,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/SK%E2%88%9E_%E3%82%A8%E3%82%B9%E3%82%B1%E3%83%BC%E3%82%A8%E3%82%A4%E3%83%88
1月10日 - 6月27日,アイカツプラネット!（実写&アニメ）,BN Pictures,TX,全25話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%82%AB%E3%83%84%E3%83%97%E3%83%A9%E3%83%8D%E3%83%83%E3%83%88!
1月10日 - 3月28日,怪物事変,亜細亜堂,TOKYO MX、YTV、AT-X、BS11,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E6%80%AA%E7%89%A9%E4%BA%8B%E5%A4%89
1月10日 - 3月28日,怪病医ラムネ,プラチナビジョン,TOKYO MX、AT-X、BS11、HTB,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E6%80%AA%E7%97%85%E5%8C%BB%E3%83%A9%E3%83%A0%E3%83%8D
1月10日 - 3月28日,Levius -レビウス-,ポリゴン・ピクチュアズ,TOKYO MX,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/Levius_-%E3%83%AC%E3%83%93%E3%82%A6%E3%82%B9-
1月10日 - 3月28日,スケートリーディング☆スターズ,J.C.STAFF,TOKYO MX、AT-X、MBS、BS11,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%82%B9%E3%82%B1%E3%83%BC%E3%83%88%E3%83%AA%E3%83%BC%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E2%98%86%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA
1月10日 - 3月28日,IDOLY PRIDE,Lerche,TOKYO MX、KBS、BS日テレ、ANIMAX,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/IDOLY_PRIDE
1月10日 - 3月28日,八十亀ちゃんかんさつにっき 3さつめ,サエッタ,TVA、AT-X、BS11,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E5%85%AB%E5%8D%81%E4%BA%80%E3%81%A1%E3%82%83%E3%82%93%E3%81%8B%E3%82%93%E3%81%95%E3%81%A4%E3%81%AB%E3%81%A3%E3%81%8D
1月11日 - 3月22日,無職転生 〜異世界行ったら本気だす〜（第1期第1クール）,スタジオバインド,TOKYO MX、KBS、SUN、BS11,全11話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E7%84%A1%E8%81%B7%E8%BB%A2%E7%94%9F_%E3%80%9C%E7%95%B0%E4%B8%96%E7%95%8C%E8%A1%8C%E3%81%A3%E3%81%9F%E3%82%89%E6%9C%AC%E6%B0%97%E3%81%A0%E3%81%99%E3%80%9C_(%E3%82%A2%E3%83%8B%E3%83%A1)
1月11日 - 3月29日,のんのんびより のんすとっぷ,SILVER LINK.,TX,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%81%AE%E3%82%93%E3%81%AE%E3%82%93%E3%81%B3%E3%82%88%E3%82%8A_%E3%81%AE%E3%82%93%E3%81%99%E3%81%A8%E3%81%A3%E3%81%B7
1月11日 - 4月5日,闇芝居（第8期）,ILCA,TX,全13話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E9%97%87%E8%8A%9D%E5%B1%85
1月11日 - 3月29日,EX-ARM エクスアーム,ビジュアルフライト,TOKYO MX、SUN、BSフジ,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/EX-ARM_%E3%82%A8%E3%82%AF%E3%82%B9%E3%82%A2%E3%83%BC%E3%83%A0
1月12日 - 3月30日,WAVE!!〜サーフィンやっぺ!!〜,旭プロダクション,TX,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/WAVE!!%E3%80%9C%E3%82%B5%E3%83%BC%E3%83%95%E3%82%A3%E3%83%B3%E3%82%84%E3%81%A3%E3%81%BA!!%E3%80%9C
1月12日 - 3月30日,アズールレーン びそくぜんしんっ!,Yostar Pictures、studio CANDY BOX,AT-X、TOKYO MX、BS11,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%BA%E3%83%BC%E3%83%AB%E3%83%AC%E3%83%BC%E3%83%B3
1月12日 - 3月30日,真・中華一番!（第2期）,NAS,MBS,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E4%B8%80%E7%95%AA!
1月13日 - 3月31日,文豪ストレイドッグス わん!,ボンズ、ノーマッド,TOKYO MX、MBS、BS11、WOWOW,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E6%96%87%E8%B1%AA%E3%82%B9%E3%83%88%E3%83%AC%E3%82%A4%E3%83%89%E3%83%83%E3%82%B0%E3%82%B9
1月13日 - 3月31日,ワールドウィッチーズ発進しますっ!,Acca effe、戯画プロダクション,TOKYO MX、AT-X、BS11、MBS,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%88%E3%83%A9%E3%82%A4%E3%82%AF%E3%82%A6%E3%82%A3%E3%83%83%E3%83%81%E3%83%BC%E3%82%BA
1月13日 - 3月31日,ワンダーエッグ・プライオリティ,CloverWorks,NTV,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%AF%E3%83%B3%E3%83%80%E3%83%BC%E3%82%A8%E3%83%83%E3%82%B0%E3%83%BB%E3%83%97%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%AA%E3%83%86%E3%82%A3
1月13日 - 6月23日,七つの大罪 憤怒の審判,スタジオディーン,TX,全24話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E4%B8%83%E3%81%A4%E3%81%AE%E5%A4%A7%E7%BD%AA_(%E6%BC%AB%E7%94%BB)
1月13日 - 3月31日,ログ・ホライズン 円卓崩壊,スタジオディーン,NHK Eテレ,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%AD%E3%82%B0%E3%83%BB%E3%83%9B%E3%83%A9%E3%82%A4%E3%82%BA%E3%83%B3
1月13日 - 3月31日,回復術士のやり直し,ティー・エヌ・ケー,AT-X、TOKYO MXほか,全12話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E5%9B%9E%E5%BE%A9%E8%A1%93%E5%A3%AB%E3%81%AE%E3%82%84%E3%82%8A%E7%9B%B4%E3%81%97
1月14日 - 3月25日,Dr.STONE STONE WARS,TMS/8PAN,TOKYO MX、BS11ほか,全11話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/Dr.STONE
1月14日 - 12月23日,開運 キンタマーニドッグ,勝鬨スタジオ,ABC、TVA,全50話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/w/index.php?title=%E9%96%8B%E9%81%8B_%E3%82%AD%E3%83%B3%E3%82%BF%E3%83%9E%E3%83%BC%E3%83%8B%E3%83%89%E3%83%83%E3%82%B0&action=edit&redlink=1
1月20日 - 3月31日,魔術士オーフェンはぐれ旅 キムラック編,スタジオディーン,AT-X、TOKYO MX、WOWOW、BSフジ,全11話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E9%AD%94%E8%A1%93%E5%A3%AB%E3%82%AA%E3%83%BC%E3%83%95%E3%82%A7%E3%83%B3_(%E3%82%A2%E3%83%8B%E3%83%A1)
2月5日 - 3月26日,ぷっちみく♪ D4DJ Petit Mix,DMM.futureworks/ダブトゥーンスタジオ,独立局,全10話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/D4DJ
2月14日 - 2022年2月13日,おかしなさばくのスナとマヌ,勝鬨スタジオ,KTV、TVA,全50話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%81%8A%E3%81%8B%E3%81%97%E3%81%AA%E3%81%95%E3%81%B0%E3%81%8F%E3%81%AE%E3%82%B9%E3%83%8A%E3%81%A8%E3%83%9E%E3%83%8C
2月25日 - 2022年1月27日,舞妓さんちのまかないさん（NHKワールド JAPAN版）,J.C.STAFF,NHKワールド JAPAN,全36話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E8%88%9E%E5%A6%93%E3%81%95%E3%82%93%E3%81%A1%E3%81%AE%E3%81%BE%E3%81%8B%E3%81%AA%E3%81%84%E3%81%95%E3%82%93
2月26日 - 3月25日,SDガンダムワールド 三国創傑伝,サンライズ,TOKYO MX、BS11,全10話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/SD%E3%82%AC%E3%83%B3%E3%83%80%E3%83%A0%E3%83%AF%E3%83%BC%E3%83%AB%E3%83%89_%E4%B8%89%E5%9B%BD%E5%89%B5%E5%82%91%E4%BC%9D
2月28日 - 2022年1月30日,トロピカル〜ジュ!プリキュア,東映アニメーション,ABC,全46話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%AD%E3%83%94%E3%82%AB%E3%83%AB%E3%80%9C%E3%82%B8%E3%83%A5!%E3%83%97%E3%83%AA%E3%82%AD%E3%83%A5%E3%82%A2
3月27日 - 9月25日,僕のヒーローアカデミア（第5期）,ボンズ,YTV,全25話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E5%83%95%E3%81%AE%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%82%A2%E3%82%AB%E3%83%87%E3%83%9F%E3%82%A2_(%E3%82%A2%E3%83%8B%E3%83%A1)
3月29日（単発）,赤ちゃん本部長,Tomovies,NHK総合,全8話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E8%B5%A4%E3%81%A1%E3%82%83%E3%82%93%E6%9C%AC%E9%83%A8%E9%95%B7
3月29日 - 2023年3月29日,ゴー!ゴー!キッチン戦隊クックルン（5代目）（実写+アニメ）,ODDJOB,NHK Eテレ,全251話,2021年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%82%B4%E3%83%BC!%E3%82%B4%E3%83%BC!%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3%E6%88%A6%E9%9A%8A%E3%82%AF%E3%83%83%E3%82%AF%E3%83%AB%E3%83%B3
4月1日 - 2022年4月21日,SHAMAN KING,ブリッジ,TX,全52話,2021年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%A3%E3%83%BC%E3%83%9E%E3%83%B3%E3%82%AD%E3%83%B3%E3%82%B0
4月1日 - 6月24日,ゴジラ S.P ＜シンギュラポイント＞,ボンズ、オレンジ,TOKYO MX、BS11、KBS京都、SUN,全13話,2021年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%82%B4%E3%82%B8%E3%83%A9_S.P_%EF%BC%9C%E3%82%B7%E3%83%B3%E3%82%AE%E3%83%A5%E3%83%A9%E3%83%9D%E3%82%A4%E3%83%B3%E3%83%88%EF%BC%9E
4月2日 - 10月22日,もっと!まじめにふまじめ かいけつゾロリ（第2期）,BN Pictures、亜細亜堂,NHK Eテレ,全25話,2021年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%82%82%E3%81%A3%E3%81%A8!%E3%81%BE%E3%81%98%E3%82%81%E3%81%AB%E3%81%B5%E3%81%BE%E3%81%98%E3%82%81_%E3%81%8B%E3%81%84%E3%81%91%E3%81%A4%E3%82%BE%E3%83%AD%E3%83%AA
4月2日 - 6月18日,SSSS.DYNAZENON,TRIGGER,TOKYO MX、MBS、BS11,全12話,2021年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/SSSS.DYNAZENON
4月2日 - 6月18日,歌うサッカーパンダ ミファンダ,,BS-TBS,全12話,2021年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E6%AD%8C%E3%81%86%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC%E3%83%91%E3%83%B3%E3%83%80_%E3%83%9F%E3%83%95%E3%82%A1%E3%83%B3%E3%83%80
4月3日 - 6月19日,灼熱カバディ,トムス・エンタテインメント,TX,全12話,2021年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E7%81%BC%E7%86%B1%E3%82%AB%E3%83%90%E3%83%87%E3%82%A3
4月3日 - 6月19日,ましろのおと,シンエイ動画,MBS,全12話,2021年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%81%BE%E3%81%97%E3%82%8D%E3%81%AE%E3%81%8A%E3%81%A8
4月3日 - 6月26日,カードファイト!! ヴァンガード overDress,Kinema Citrus、ぎふとアニメーション、STUDIOJEMI,TVA,全12話,2021年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%BC%E3%83%89%E3%83%95%E3%82%A1%E3%82%A4%E3%83%88!!_%E3%83%B4%E3%82%A1%E3%83%B3%E3%82%AC%E3%83%BC%E3%83%89_overDress
4月3日 - 6月26日,おしりたんてい（第5期）,東映アニメーション,NHK Eテレ,全13話,2021年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%81%8A%E3%81%97%E3%82%8A%E3%81%9F%E3%82%93%E3%81%A6%E3%81%84
4月3日 - 2022年3月26日,どすこい すしずもう,白組,独立局,全52話,2021年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%81%A9%E3%81%99%E3%81%93%E3%81%84_%E3%81%99%E3%81%97%E3%81%9A%E3%82%82%E3%81%86
4月3日 - 6月19日,やくならマグカップも（実写&アニメ）,日本アニメーション,CBC、TOKYO MX、BS11ほか,全12話,2021年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%82%84%E3%81%8F%E3%81%AA%E3%82%89%E3%83%9E%E3%82%B0%E3%82%AB%E3%83%83%E3%83%97%E3%82%82
4月3日 - 6月26日,Vivy -Fluorite Eye's Song-,WIT STUDIO,TOKYO MXほか,全14話,2021年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/Vivy_-Fluorite_Eye%27s_Song-
4月4日 - 2022年3月27日,デュエル・マスターズ キング!,ブレインズ・ベース、小学館ミュージック&デジタル エンタテイメント,TX,全43話,2021年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%83%87%E3%83%A5%E3%82%A8%E3%83%AB%E3%83%BB%E3%83%9E%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA_(%E3%82%A2%E3%83%8B%E3%83%A1)
4月4日 - 2022年3月27日,マジカパーティ,OLM TEAM INOUE,TVO,全51話,2021年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%B8%E3%82%AB%E3%83%91%E3%83%BC%E3%83%86%E3%82%A3
4月4日 - 6月20日,戦闘員、派遣します!,J.C.STAFF,AT-X、TOKYO、BS日テレほか,全12話,2021年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E6%88%A6%E9%97%98%E5%93%A1%E3%80%81%E6%B4%BE%E9%81%A3%E3%81%97%E3%81%BE%E3%81%99!
4月4日 - 6月20日,ドラゴン、家を買う。,SIGNAL.MD,TOKYO MX、YTV、BSフジ,全12話,2021年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%E3%80%81%E5%AE%B6%E3%82%92%E8%B2%B7%E3%81%86%E3%80%82
4月4日 - 9月26日,ダイナ荘びより,ファンワークス,TOKYO MX、BS11,全26話,2021年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%83%80%E3%82%A4%E3%83%8A%E8%8D%98%E3%81%B3%E3%82%88%E3%82%8A
